Estado,Year,tipo_energia,geracao
BRASIL,2023,Geração Total,"708,119"
Rondônia,2023,Geração Total,"27,682"
Acre,2023,Geração Total,315
Amazonas,2023,Geração Total,"9,837"
Roraima,2023,Geração Total,"1,520"
Pará,2023,Geração Total,"66,059"
Amapá,2023,Geração Total,"3,216"
Tocantins,2023,Geração Total,"9,933"
Maranhão,2023,Geração Total,"11,870"
Piauí,2023,Geração Total,"17,161"
Ceará,2023,Geração Total,"10,936"
Rio G. do Norte,2023,Geração Total,"31,121"
Paraíba,2023,Geração Total,"5,073"
Pernambuco,2023,Geração Total,"10,694"
Alagoas,2023,Geração Total,"13,218"
Sergipe,2023,Geração Total,"6,702"
Bahia,2023,Geração Total,"54,197"
Minas Gerais,2023,Geração Total,"66,853"
Espírito Santo,2023,Geração Total,"11,489"
Rio de Janeiro,2023,Geração Total,"43,823"
São Paulo,2023,Geração Total,"75,589"
Paraná,2023,Geração Total,"96,448"
Santa Catarina,2023,Geração Total,"29,423"
Rio G. do Sul,2023,Geração Total,"34,141"
Mato G. do Sul,2023,Geração Total,"24,963"
Mato Grosso,2023,Geração Total,"21,128"
Goiás,2023,Geração Total,"24,233"
Distrito Federal,2023,Geração Total,495
BRASIL,2023,Geração Total,"677,173"
BRASIL,2022,Geração Total,"677,173"
Rondônia,2022,Geração Total,"34,665"
Acre,2022,Geração Total,302
Amazonas,2022,Geração Total,"9,512"
Roraima,2022,Geração Total,"1,367"
Pará,2022,Geração Total,"76,714"
Amapá,2022,Geração Total,"3,836"
Tocantins,2022,Geração Total,"10,766"
Maranhão,2022,Geração Total,"11,139"
Piauí,2022,Geração Total,"14,684"
Ceará,2022,Geração Total,"9,873"
Rio G. do Norte,2022,Geração Total,"25,932"
Paraíba,2022,Geração Total,"3,483"
Pernambuco,2022,Geração Total,"9,434"
Alagoas,2022,Geração Total,"15,230"
Sergipe,2022,Geração Total,"8,760"
Bahia,2022,Geração Total,"50,368"
Minas Gerais,2022,Geração Total,"56,884"
Espírito Santo,2022,Geração Total,"11,527"
Rio de Janeiro,2022,Geração Total,"46,830"
São Paulo,2022,Geração Total,"59,887"
Paraná,2022,Geração Total,"85,962"
Santa Catarina,2022,Geração Total,"26,793"
Rio G. do Sul,2022,Geração Total,"31,643"
Mato G. do Sul,2022,Geração Total,"22,009"
Mato Grosso,2022,Geração Total,"24,202"
Goiás,2022,Geração Total,"25,053"
Distrito Federal,2022,Geração Total,317
BRASIL,2022,Geração Total,"656,109"
Rondônia,2021,Geração Total,"37,604"
Acre,2021,Geração Total,265
Amazonas,2021,Geração Total,"11,312"
Roraima,2021,Geração Total,"1,229"
Pará,2021,Geração Total,"71,135"
Amapá,2021,Geração Total,"4,188"
Tocantins,2021,Geração Total,"10,426"
Maranhão,2021,Geração Total,"18,445"
Piauí,2021,Geração Total,"11,499"
Ceará,2021,Geração Total,"16,609"
Rio G. do Norte,2021,Geração Total,"24,104"
Paraíba,2021,Geração Total,"3,434"
Pernambuco,2021,Geração Total,"12,841"
Alagoas,2021,Geração Total,"10,255"
Sergipe,2021,Geração Total,"9,861"
Bahia,2021,Geração Total,"40,490"
Minas Gerais,2021,Geração Total,"47,050"
Espírito Santo,2021,Geração Total,"13,021"
Rio de Janeiro,2021,Geração Total,"66,743"
São Paulo,2021,Geração Total,"57,659"
Paraná,2021,Geração Total,"69,590"
Santa Catarina,2021,Geração Total,"20,602"
Rio G. do Sul,2021,Geração Total,"29,037"
Mato G. do Sul,2021,Geração Total,"22,678"
Mato Grosso,2021,Geração Total,"23,236"
Goiás,2021,Geração Total,"22,604"
Distrito Federal,2021,Geração Total,192
BRASIL,2020,Geração Total,"621,251"
Rondônia,2020,Geração Total,"35,272"
Acre,2020,Geração Total,257
Amazonas,2020,Geração Total,"10,811"
Roraima,2020,Geração Total,"1,262"
Pará,2020,Geração Total,"60,793"
Amapá,2020,Geração Total,"2,645"
Tocantins,2020,Geração Total,"10,383"
